bid;bname;blang;auth_id;auth_name;sid;sub;cat
39556;Guy and Pauline;en;641;MacKenzie| Compton;641;Literary;
39616;In the Hands of the Malays- and Other Stories;en;642;Henty| G. A.;642;Sea and Adventure;
39660;Sylvia & Michael: The later adventures of Sylvia Scarlett;en;643;MacKenzie| Compton;643;Literary;
39692;Mildred Arkell: A Novel. Vol. 1 (of 3);en;644;Wood| Mrs. Henry;644;Literary;
39693;Mildred Arkell: A Novel. Vol. 3 (of 3);en;645;Wood| Mrs. Henry;645;Literary;
39707;Mr. Punch's Life in London;en;27;Hammerton, John Alexander, Sir;59;wit and humor;LCSH
39731;The Marriage of Esther;en;646;Boothby| Guy;646;Literary;
39748;Four Winds Farm;en;98;Molesworth, Mrs.;1138;Fantasy ;LCSH
39755;The Story of Peter Pan, Retold from the fairy play by Sir James Barrie;en;25047;O'Connor, Daniel;1138;Fantasy ;LCSH
39768;Vassall Morton: A Novel;en;647;Parkman| Francis;647;Literary;
39813;A Sovereign Remedy;en;648;Steel| Flora Annie Webster;648;Literary;
39826;The Trial of Callista Blake;en;1511;Pangborn, Edgar;85;Detective and mystery ;LCSH
39868;Glinda of Oz;en;1302;Neill, John R. (John Rea);1138;Fantasy ;LCSH
39896;The Girl Next Door;en;2115;Seaman, Augusta Huiell;85;Detective and mystery ;LCSH
39900;The Slipper Point Mystery;en;2115;Seaman, Augusta Huiell;85;Detective and mystery ;LCSH
39905;Upsidonia;en;649;Marshall| Archibald;649;Humorous and Wit and Satire;
39940;Ashton-Kirk- Secret Agent;en;650;McIntyre| John Thomas;650;Detective and Mystery;
39968;Lancashire Humour;en;13560;Newbigging, Thomas;59;wit and humor;LCSH
40027;The Scarecrow, and Other Stories;en;24817;Wormser, G. Ranger (Gwendolyn Ranger);1656;Horror;LCSH
40056;Yule Logs: Longmans' Christmas Annual for 1898;en;39;Henty, G. A. (George Alfred);79;Adventure;LCSH
40111;In Silk Attire: A Novel;en;651;Black| William;651;Literary;
40114;Fashion and Famine;en;652;Stephens| Ann S.;652;Literary;
40145;The Foolish Almanak for Anuthur Year;en;894;Goldsmith, Wallace;1083;wit and humor;LCSH
40180;A Woman's Love;en;653;Opie| Amelia;653;Literary;
40199;Mabel: A Novel. Vol. 2 (of 3);en;654;Newby| Mrs. C. J.;654;Literary;
40278;The Threatening Eye;en;655;Knight| E. F.;655;Literary;
40320;Mr. Punch Afloat: The Humours of Boating and Sailing;en;27;Hammerton, John Alexander, Sir;59;wit and humor;LCSH
40321;Grim Tales;en;928;Nesbit, E. (Edith);239;Horror;LCSH
40324;True to a Type- Vol. 1 (of 2);en;656;Cleland| Robert;656;Literary;
